,a,e,i,o,u,w,y,p,b,t,d,k,g,m,n,f,v,s,z,l,r,c,h,j,q,x
f,2092395523,4588497002,5731148470,33130341561,522547858,45330551,21246637,41022263,4108696,159626603,78347492,44759608,33962536,107664447,1894270041,4125634219,1550317,483979931,608389,1507867867,909634941,39704311,63249924,2421784,947879,52374239
v,5778409728,7184041787,8116349309,5021440160,82252351,389123,5115763,6222096,108385069,32805751,537221821,4414960,1192366,8172535,1466426243,807297,2622571,35005005,4618705,984229060,1953555667,5869407,6292998,1719726,635514,55076715
s,24561944198,37766388079,31817918249,8176085241,12808517567,989253674,2730343336,1538723474,1292319275,9516029773,3560125353,1339590722,1443474876,2617582287,14350320288,155349948,16263248,11421755201,8395904,3990203351,11180732354,643530723,414044112,3329038,4448602,1804740
z,334669428,127540198,1814164135,97904996,53873803,0,51097953,6382200,1007374,108527540,2200704,150760,3431194,970282,123192934,263860,501189,7041052,75012595,11767790,17993128,20601701,10729982,220675,0,136521
l,30662410438,14952716079,12167821320,10305660447,9751225781,429185823,416082307,7415349106,6581097936,2775935006,911886482,298033281,1709752272,129888836,1798491132,1830098844,11621019,1575646777,35456851,16257360474,2432373251,4201617719,355049620,3192327,6708919,16728256
r,30308513014,57754162106,8886799024,35994097756,15303657594,867361010,219696469,13378480175,3145611704,12006693396,2409399231,76743394,5548472398,87580303,258048421,6011200185,24701238,168896339,5320518,283411884,3404547067,4214150542,2379584978,6846578,1744325,907409
c,12625666388,13457763533,19701195496,4692062395,5291161134,19008254,380670476,33156666,53278096,736955048,71030077,6326022,6455066,121591374,11722631112,16254390,6570845,4363410770,2100797,333338045,3422694015,2344219345,34631551,3447571,1127399,746076293
h,384694919,742240059,58966344,602121281,30097154,10680697684,14682887,2661480326,29797934,1.00273E+11,153344431,89811517,6414827751,15033898,306883963,5166165,2691078,8888705287,18782710,45643026,426095630,16854985236,14730425,3541869,263509,117618666
j,331384552,128194584,31324465,196696657,14548024,914179,561334,2810773,654853039,3169658,134832736,3471162,1093028,2923325,312598990,2065436,724370,7621847,309029,3169833,15598009,2962048,1282370,2979950,236928,511074
q,63283982,1614312175,318727904,29227658,7235727,0,384882,1075049,346506,2517400,19927900,187242,345624,708424,167770304,149430,212856,209894196,913036,3582930,28152573,154363546,11925353,0,1712219,8225536
x,531206960,6035335807,621227893,523764012,110947766,150637,4211192,1473468,778622,3328898,1296277,555422,557030,994334,73899576,812116,449854,503772,108224,8612462,32990613,876736,263997,161750,159505,79068246
